datetime,high,low,close,open,volume
04-01-2019,3800,3703.57,3730,3757.58,27512.84811
05-01-2019,3840.99,3729.02,3809.02,3730.41,31565.50562
06-01-2019,4027.71,3740,3989.09,3810,33580.89835
07-01-2019,4017.9,3921.53,3977.89,3990,35239.73723
08-01-2019,4069.8,3922,3968.46,3977,38300.27718
09-01-2019,4006.81,3903,3971.38,3969.42,29575.39578
10-01-2019,3996.01,3540,3573.78,3970.06,55859.67549
11-01-2019,3635,3540.33,3605.88,3573.78,36379.91768
12-01-2019,3658,3465,3591.92,3605.88,28532.369
13-01-2019,3612.39,3441.3,3462.75,3591.92,25101.37981
14-01-2019,3671.87,3454,3628.01,3463,34568.59081
15-01-2019,3665,3578.07,3596.98,3629.32,30577.52964
16-01-2019,3645,3516.62,3588.75,3596.96,32218.16549
17-01-2019,3633,3530.39,3605.69,3588.46,29024.28484
18-01-2019,3634.7,3565.75,3582.23,3605.97,24899.75063
19-01-2019,3720,3566.1,3682.35,3582.56,22589.93603
20-01-2019,3693.73,3475,3523,3682.33,27263.92239
21-01-2019,3559.51,3501,3534.98,3523.02,18670.44938
22-01-2019,3590.8,3434.85,3588,3534.3,29599.21262
23-01-2019,3608.5,3543.99,3571.18,3589.71,21274.25337
24-01-2019,3576.97,3514.5,3555.88,3571.11,23915.3332
25-01-2019,3589,3522.51,3545.3,3555.86,19591.05847
26-01-2019,3662.94,3540.35,3569.42,3545.32,20174.68479
27-01-2019,3579,3486,3557.13,3569.98,22262.02284
28-01-2019,3571.09,3380.27,3424.01,3557.13,38974.31215
29-01-2019,3445.99,3349.92,3413.41,3424.03,29911.34929
30-01-2019,3478,3387.1,3469.7,3413.41,24405.40006
31-01-2019,3489.2,3418.8,3424.63,3469.72,28664.49486
01-02-2019,3479.99,3401.2,3472.01,3425.22,25085.51893
02-02-2019,3488,3440.29,3466.89,3472.22,17615.31126
03-02-2019,3526.4,3447.44,3466.88,3467.19,18855.79949
04-02-2019,3484.88,3426,3467.52,3466.88,23978.91653
05-02-2019,3478.97,3448.43,3456,3467.99,25461.89685
06-02-2019,3482.72,3380,3406.04,3455.95,35681.03857
07-02-2019,3426.45,3392,3398.98,3406.37,20215.30367
08-02-2019,3733.58,3373.1,3654.03,3398.54,43501.99633
09-02-2019,3680.02,3612,3640.37,3654.76,27614.2413
10-02-2019,3674,3609.76,3646.32,3640.06,21993.61391
11-02-2019,3684.99,3615.53,3640.39,3646.32,25690.06643
12-02-2019,3667.6,3582.34,3635.4,3640.39,28276.17026
13-02-2019,3670,3591.75,3612.5,3635.88,28214.48243
14-02-2019,3626.4,3568.11,3611.44,3612.48,22547.53045
15-02-2019,3653.23,3573.45,3602.37,3611.87,21619.0773
16-02-2019,3648.2,3590,3626.32,3602.06,18686.27044
17-02-2019,3700.11,3604.4,3616.24,3626.31,22328.49388
18-02-2019,3925,3610,3900.67,3616.27,63220.6927
19-02-2019,3994.52,3856,3950.02,3900.35,49823.46217
20-02-2019,3986.98,3870.66,3952.08,3950.02,38215.59407
21-02-2019,4016.48,3901.03,3920.85,3952.97,33156.82132
22-02-2019,3988,3915.33,3966.11,3921.33,24594.30936
23-02-2019,4145.41,3933.15,4092.96,3966.56,28151.87753
24-02-2019,4198,3712.66,3795.03,4094.26,63119.92278
25-02-2019,3871.27,3740,3868.77,3795.05,38697.17049
26-02-2019,3872.66,3777,3804.33,3869.1,31729.05731
27-02-2019,3838.85,3788,3809.64,3804.49,23210.90648
28-02-2019,3888,3677.17,3832.14,3809.64,40231.70993
01-03-2019,3855,3805,3849.79,3832.13,23258.0749
02-03-2019,3857,3772.25,3814.79,3848.7,21894.25637
03-03-2019,3835,3781.32,3808.61,3815.47,16375.86852
04-03-2019,3830,3670.69,3720.4,3808.6,33332.26022
05-03-2019,3877.1,3696.72,3847.13,3720.4,32513.07963
06-03-2019,3907,3813.09,3862.83,3848.14,25754.16202
07-03-2019,3905.4,3840.4,3885.88,3862.28,26738.45028
08-03-2019,3930,3862.32,3913.18,3886.63,26025.41323
09-03-2019,3971.75,3800,3929.6,3911.45,38903.06733
10-03-2019,3946.45,3881.69,3903.62,3929.57,23269.47109
11-03-2019,3936.98,3830,3869.08,3903.55,35510.36691
12-03-2019,3905.2,3826.06,3880.02,3869.05,29139.01977
13-03-2019,3893.56,3840,3866.21,3880.54,25303.17537
14-03-2019,3920,3810.43,3874.37,3866.19,27548.03248
15-03-2019,3939.22,3870,3930.52,3874.37,21513.85377
16-03-2019,4056.98,3905.92,3999.15,3930.48,28518.94919
17-03-2019,4012,3950.01,3985.89,3999.74,18270.64769
18-03-2019,4037,3953.33,3977.85,3985.89,23142.78138
19-03-2019,4031,3969.62,4004.14,3977.87,20110.41546
20-03-2019,4040.89,3980.5,4022.59,4004.46,21985.6686
21-03-2019,4069.32,3880.01,3972.44,4022.6,36637.45688
22-03-2019,4008,3968.25,3997.03,3971.14,20875.65939
23-03-2019,4018.83,3973.57,3992.87,3996.41,17381.81752
24-03-2019,4007.9,3975,3984.6,3992.87,15635.21766
25-03-2019,3999.3,3906,3916.72,3984.95,28345.80921
26-03-2019,3958.98,3888.71,3942.45,3916.72,34224.23929
27-03-2019,4040.36,3924.95,4018.69,3942.35,31371.19262
28-03-2019,4048,4002,4028.5,4019.18,22442.33434
29-03-2019,4123.71,4019.93,4106,4028.5,28940.97642
30-03-2019,4140,4052,4089.82,4106,21189.8521
31-03-2019,4116.12,4082.57,4102.04,4089.23,13365.74397
01-04-2019,4158.7,4067,4140.04,4102.04,24845.32052
02-04-2019,4841.44,4133.8,4714.21,4140.04,92263.89906
03-04-2019,5150.19,4702,5093.94,4714.21,90702.87002
04-04-2019,5275.01,4760,4844.25,5096.57,84771.06485
05-04-2019,5028.22,4777,4990.49,4845.31,45610.57004
06-04-2019,5205,4950.02,5142.45,4992.08,35369.76458
07-04-2019,5175.09,4928.59,5120,5141.85,37923.69818
08-04-2019,5305,5039,5167.15,5119.55,54196.87445
09-04-2019,5255,5076.68,5172.05,5167,37311.31864
10-04-2019,5422,5121,5351.79,5174.04,31802.48594
11-04-2019,5386.82,4927,5058.34,5351.79,61552.69004
12-04-2019,5080.58,4861.22,5033.19,5058.34,35348.64435
13-04-2019,5099,5002.94,5062.71,5033.85,18508.02904
14-04-2019,5087.03,5000,5087,5063,15025.74843
15-04-2019,5167.38,4983,5041,5087.14,27679.21344
16-04-2019,5197.72,4950,5151.46,5040.75,27066.73483
17-04-2019,5230.4,5144.2,5205.32,5152.45,24186.89266
18-04-2019,5273,5182.05,5248.78,5205.32,22090.23651
19-04-2019,5320,5175,5265.07,5248.84,25518.27371
20-04-2019,5333.42,5220.9,5287,5265.07,17571.79831
21-04-2019,5314.35,5165,5200,5287.23,26673.79836
22-04-2019,5380,5191.71,5373.13,5199.99,26242.00345
23-04-2019,5600,5323,5575.91,5373.17,40468.87807
24-04-2019,5582.2,5333.35,5368.53,5575.53,51170.69656
25-04-2019,5481.53,5350.07,5475.98,5369.05,29297.3297
26-04-2019,5510,5102,5245.54,5475.98,68629.16479
27-04-2019,5340,5237.2,5310.66,5245.48,17634.29474
28-04-2019,5342.5,5280,5308.47,5307.98,14163.85792
29-04-2019,5332,5178.8,5242.9,5308.12,20099.89026
30-04-2019,5339.98,5185,5305.89,5241.92,21775.85344
01-05-2019,5402,5290,5367.58,5305.89,18179.39269
02-05-2019,5538,5342.75,5496.1,5368.17,21537.32977
03-05-2019,5844,5477.57,5763,5496.1,46236.22326
04-05-2019,5900,5587.45,5669.99,5762.98,34248.71825
05-05-2019,5874.34,5664.51,5779,5670,29239.89856
06-05-2019,5818,5619.14,5796.84,5778.38,25050.2674
07-05-2019,6028.41,5732,5936.2,5795.73,37274.37036
08-05-2019,5970,5772.2,5933.39,5936.14,25367.28658
09-05-2019,6150,5910.01,6134.89,5935.59,26138.48226
10-05-2019,6468.92,6118.92,6439.3,6134.03,36141.25261
11-05-2019,6979.99,6270.03,6919.81,6439.3,61119.87444
12-05-2019,7521.78,6750,7082.98,6918.02,93567.54218
13-05-2019,7883.95,6863,7803.73,7084.99,73175.13052
14-05-2019,8366,7568,7831.22,7805.02,87715.98171
15-05-2019,8240,7599.56,8215.77,7830.91,39127.29801
16-05-2019,8320,7725,7906.44,8215.76,71758.97855
17-05-2019,7960,6913,7102.09,7906.83,87115.62732
18-05-2019,7458,7045.1,7266.84,7102.11,44761.53606
19-05-2019,8092.9,7230,7974.23,7266.56,56603.28939
20-05-2019,8275.09,7553,7718.52,7974.23,64362.63685
21-05-2019,8080,7713.68,7971.56,7722.11,57680.5541
22-05-2019,8042.32,7730,7907.71,7971.56,41686.38353
23-05-2019,7917.68,7461,7749.67,7906.9,56892.67742
24-05-2019,8130,7702,8022.39,7749.67,48260.06696
25-05-2019,8096.74,7892,7993.42,8020.01,32117.53869
26-05-2019,8052.6,7833.42,7990.2,7994.68,26190.33965
27-05-2019,8908.32,7990.2,8746.03,7990.2,73410.45943
28-05-2019,8823.52,8510.63,8728.78,8745.84,33003.64622
29-05-2019,8774.25,8406.6,8661.39,8727.67,35023.37459
30-05-2019,9074.26,8513.38,8652.27,8661.39,49327.01199
31-05-2019,8667.17,8005,8404.05,8652.28,61818.07319
01-06-2019,8626,8393.39,8494.49,8405.93,34075.83474
02-06-2019,8814.78,8468,8671.35,8495.39,29919.21035
03-06-2019,8800.95,8321.5,8563,8672.13,37775.28581
04-06-2019,8580.4,7606.48,7669.05,8561.49,71629.26069
05-06-2019,7888,7481.02,7759.93,7667.39,53303.43563
06-06-2019,7896.7,7444.58,7582.15,7762,39169.9676
07-06-2019,8100,7546.38,8055.33,7582.15,36372.91912
08-06-2019,8071.62,7751,7814.68,8055.33,23837.26852
09-06-2019,7943.72,7571.55,7660.98,7814.68,27138.54868
10-06-2019,8020,7506.66,7923.98,7660.74,39396.53896
11-06-2019,8010,7692.23,7862.01,7924.48,30797.29576
12-06-2019,8200,7788.99,8108,7863.45,41372.91343
13-06-2019,8275.78,8010.03,8257.56,8110.24,27986.9857
14-06-2019,8458.58,8144.32,8382.77,8257.56,36278.8335
15-06-2019,8864.99,8368,8787.44,8382.77,37731.1466
16-06-2019,9333,8725.17,9039.11,8787.44,57788.94525
17-06-2019,9379.38,8820.67,9259.99,9039.41,44231.21229
18-06-2019,9444,8950,9110.04,9259.89,59094.44148
19-06-2019,9206.28,8953.43,9109,9110.15,31114.62498
20-06-2019,9443.02,8960,9420.27,9108.04,31306.1941
21-06-2019,9930,9388.43,9897.13,9420.28,49999.36178
22-06-2019,11160,9810.98,10657,9897.05,101756.1117
23-06-2019,10963.25,10410,10906.32,10654.75,45656.16545
24-06-2019,11392.64,10620.8,11019.94,10905.4,60176.04393
25-06-2019,11503.71,10861.34,11441.42,11019.94,55116.147
26-06-2019,13961.45,11384.97,13905.39,11438.57,116757.066
27-06-2019,13970,10680.04,11165.54,13905.4,194531.4357
28-06-2019,12203,10525.1,11993.84,11165.19,110881.492
29-06-2019,12480,11475.02,11998.84,11993.69,76954.1674
30-06-2019,12244,10933,11269.13,11997.64,73865.95691
01-07-2019,11534.05,10050,10307.19,11269.13,95544.31228
02-07-2019,10784.94,9727,10725,10305.08,107401.437
03-07-2019,11513,10592.64,11227.64,10724.65,94850.91097
04-07-2019,12000,11156.29,11786.98,11224.76,71002.29281
05-07-2019,11807.1,10796.44,11200.3,11784.82,68251.85898
06-07-2019,11665,10805.1,11442.27,11200.3,52924.76715
07-07-2019,11498.63,11050,11390.4,11442.69,40442.53615
08-07-2019,11923.68,11220,11840.7,11394.29,43174.16882
09-07-2019,12794.73,11837.51,12555.66,11841.28,85998.92322
10-07-2019,13147.08,12100,12207.45,12555.66,92004.01252
11-07-2019,12225.4,11200,11641.19,12208.22,92799.33491
12-07-2019,11749,11000,11561.09,11642.9,68865.90405
13-07-2019,11885,11071.01,11135.99,11558.3,46081.27726
14-07-2019,11452,10295,10477.58,11135.84,76200.21291
15-07-2019,10940,9860,10903.12,10476.51,82144.48962
16-07-2019,11100,9501,9594.3,10903.11,87849.11805
17-07-2019,9923,9060,9919.98,9597.84,93454.3609
18-07-2019,10725,9252,10491.69,9919.98,83420.1025
19-07-2019,10788,10121.84,10380.67,10491.7,62464.9902
20-07-2019,10995,10350,10900.67,10381.71,42992.89447
21-07-2019,11068.99,10288,10494.08,10902,43057.18256
22-07-2019,10683.16,10167.1,10292.93,10492.21,37434.89667
23-07-2019,10394,9870.58,10096.7,10294.47,47031.45865
24-07-2019,10227.98,9525,9642.82,10096.71,45866.50083
25-07-2019,10175,9566.29,9990.88,9642.8,38351.54312
26-07-2019,9990.89,9637,9804.76,9990.88,29334.68282
27-07-2019,10188.66,9333,9401.09,9804.16,42743.90508
28-07-2019,9594.99,9343.3,9567.49,9401.94,19807.93579
29-07-2019,9729,9165,9519.55,9565.96,40363.90289
30-07-2019,9714.28,9402,9624.64,9520.6,30556.29979
31-07-2019,10109.8,9502.21,9974.64,9624.17,40644.89149
01-08-2019,10192.63,9863.46,10170.36,9975.52,32141.49344
02-08-2019,10670,10168.55,10456.24,10170.36,51485.23448
03-08-2019,10875.89,10351.24,10845.98,10456.03,34692.54774
04-08-2019,10992.1,10552,10906.9,10846.22,34336.66081
05-08-2019,11937.52,10777,11809.51,10907.23,67264.27645
06-08-2019,12330.7,11570,11734.08,11809.74,69484.48157
07-08-2019,12141.17,11226.7,11750.14,11735.41,69386.09659
08-08-2019,12079.51,11521,11661.25,11751,53153.77434
09-08-2019,12060,11550,11853.15,11661.57,45161.27339
10-08-2019,11985,11272.1,11376.13,11851.99,45883.64002
11-08-2019,11482.86,11112.11,11397.01,11375.04,24636.71355
12-08-2019,11600,11235.32,11419,11397.01,21006.66385
13-08-2019,11474.03,10788.45,10925.37,11416.79,32496.41915
14-08-2019,10981.69,10100,10174.16,10925.57,48411.00622
15-08-2019,10283.94,9911,10041.57,10174.14,34122.58093
16-08-2019,10536.03,9750,10409.05,10041.57,58671.89609
17-08-2019,10515,10000,10177.44,10409.48,31535.16813
18-08-2019,10500,10049,10379.1,10178.99,23661.55751
19-08-2019,10780,10258.6,10716.9,10380.57,34455.49218
20-08-2019,10949.96,10560,10753.84,10717.69,34826.23345
21-08-2019,10842.03,9858,10085.29,10754.84,46462.8494
22-08-2019,10242,9762,10191.52,10087.29,36056.90804
23-08-2019,10445,10019.79,10400.62,10191.48,25660.0672
24-08-2019,10444.32,9890,10063.56,10400,28599.09845
25-08-2019,10333,9966,10078.85,10060.5,24748.36402
26-08-2019,10604,9906.97,10305.55,10079.51,41985.68156
27-08-2019,10412,10051.08,10181.68,10305.4,31521.04855
28-08-2019,10299,9601.01,9720.69,10184.6,37133.31404
29-08-2019,9766.07,9320,9483.55,9718.53,39640.07265
30-08-2019,9630,9350.41,9509.75,9482.45,25034.62179
31-08-2019,9696,9450.35,9569.08,9509.75,16917.16368
01-09-2019,9684.51,9420.75,9599.98,9571.72,16590.18096
02-09-2019,10184.62,9577.17,10119.31,9599.98,38351.12199
03-09-2019,10773,10082.21,10624.02,10119.19,54685.39678
04-09-2019,10720,10369.89,10583.16,10624.59,40758.64026
05-09-2019,10799,10450,10533.45,10582.42,38175.61728
06-09-2019,10905.87,10293.34,10357.01,10535.01,56280.31237
07-09-2019,10558,10150,10456.47,10356.42,34543.29079
08-09-2019,10592.5,10208,10331,10456.47,23300.77244
09-09-2019,10480,10068.5,10253.8,10331.73,37423.57061
10-09-2019,10384.99,10161.51,10197.32,10253.26,24097.96128
11-09-2019,10293,9880,10069.47,10195.33,38063.05886
